"id","producer_id","description","cocoa_percentage","wrapper","quantity","double","archive","notes","created_at"
3,7,"Extra fondente al peperoncino",75,"paper",45,0,"faldone giallo","","2015-05-23 18:14:21"
4,7,"extra fondente ripiena di crema al latte e cacao con scorzete d'arancia candita",56,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
23,7,"Cremino extra fondente",56,"paper",170,0,"faldone giallo","","2015-05-23 18:14:21"
159,7,"Extra fondente",85,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
160,7,"Extra fondente",75,"paper",800,0,"","","2015-05-23 18:14:21"
161,7,"Extra fondente",75,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
162,7,"Extra fondente (2011)",75,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
256,7,"Blend fondente extra dark chocolate",90,"paper",70,0,"","","2015-05-23 18:14:21"
260,7,"Blend fondente extra dark chocolate",80,"paper",70,1,"","","2015-05-23 18:14:21"
261,7,"Extra fondente con Nibs",75,"paper",800,0,"","","2015-05-23 18:14:21"
264,7,"Blend fondente extra dark chocolate",60,"paper",70,0,"","","2015-05-23 18:14:21"
265,7,"Blend confezione 3 cioccolate",0,"box",210,0,"","","2015-05-23 18:14:21"
351,7,"Biologico 3 cioccolate",0,"box",210,0,"","","2015-05-23 18:14:21"
352,7,"Sali del mediterraneo 3 cioccolate",0,"box",210,0,"","","2015-05-23 18:14:21"
365,7,"Cacao fino aromatico Criollo Blanco e nacional Amendolado",70,"paper",70,0,"","","2015-05-23 18:14:21"
388,7,"Cioccolato extra fondente alla lavanda, con fiori di sale e arancia",60,"paper",70,0,"","","2015-05-23 18:14:21"
403,7,"Cacao fino aromatico Criollo Blanco e nacional Amendolado",100,"paper",70,0,"","","2015-05-23 18:14:21"
408,7,"Nibs di fave tostate di cacao Criollo Blanco e Nacional Amendolado",70,"paper",70,0,"","","2015-05-23 18:14:21"
420,7,"Cioccolato extra fondente aromatico, con fior di sale e nibs",80,"paper",70,0,"","","2015-05-23 18:14:21"
449,7,"Cuor di cacao",56,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
459,7,"Cioccolato latte al mandarino, con fior di sale e pepe",32,"paper",70,0,"","","2015-05-23 18:14:21"
471,7,"You're sweet like chocolate",56,"paper",45,0,"faldone giallo","","2015-05-23 18:14:21"
479,7,"Cioccolato extra fondente",80,"paper",45,0,"faldone giallo","","2015-05-23 18:14:21"
483,7,"Fondente extra dark chocolate nibs",75,"paper",800,0,"","","2015-06-21 14:44:38"
484,7,"Blend confezione 3 cioccolate 2016",0,"box",210,0,"","","2015-06-21 14:50:43"
485,7,"Blend fondente extra dark chocolate 2016",60,"paper",70,0,"","","2015-06-21 14:50:43"
486,7,"Blend fondente extra dark chocolate 2016",90,"paper",70,0,"","","2015-06-21 14:50:43"
524,7,"I love you more than i love chocolate",56,"paper",45,0,"faldone giallo","","2015-08-09 16:27:20"
643,7,"Cuor di cacao",75,"paper",45,0,"faldone giallo","","2016-05-28 15:15:08"
644,7,"Cuor di cacao",85,"paper",45,0,"faldone giallo","","2016-05-28 15:15:08"
652,7,"Extra fondente biologico",70,"paper",45,0,"faldone giallo","","2016-09-04 13:56:11"
826,7,"Venezuela (ricco)",85,"paper",70,1,"faldone giallo","","2017-05-28 15:18:28"
832,7,"Perù (delicato)",85,"paper",70,0,"faldone giallo","","2017-07-29 14:28:14"
892,7,"Ecuador (intenso)",100,"paper",70,0,"faldone giallo","","2017-12-08 16:37:39"
1064,7,"Cuor di cacao",85,"box",100,0,"faldone blu","","2019-02-16 15:31:53.5618"
1065,7,"Crema caffè",60,"box",100,0,"faldone blu","","2019-02-16 15:31:53.5618"
1066,7,"Cuor di cacao",75,"box",100,0,"faldone blu","","2019-02-16 15:31:53.5618"
1067,7,"Crema cuor di cacao",75,"box",100,0,"faldone blu","","2019-02-16 15:31:53.5618"
1068,7,"Nougatine",56,"box",100,0,"faldone blu","","2019-02-16 15:31:53.5618"
1069,7,"Cuor di cacao (Anniversary 140)",60,"box",70,0,"faldone blu","","2019-02-16 15:31:53.5618"
1098,7,"Montezuma Nibs",75,"box",800,0,"","","2019-04-26 10:01:57.78008"
1170,7,"Venezuela",100,"box",70,0,"faldone blu","","2020-03-03 07:53:32.736998"
1171,7,"Ecuador",70,"box",70,0,"faldone blu","","2020-03-03 07:53:32.736998"
